"Date","RegionID","RegionName","State","Metro","County","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2018-10-31,6181,"New York","NY","New York-Newark-Jersey City","Queens County",0,677500,0.00504376205310785,0.00968703427719821,0.0556248052352758,,,"2018-10","2018-Q4",677500,0,"2018-10"
2018-10-31,12447,"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",1,682600,0.00411885848779053,0.0105107327905255,0.0612562189054726,,,"2018-10","2018-Q4",682600,0,"2018-10"
2018-10-31,17426,"Chicago","IL","Chicago-Naperville-Elgin","Cook County",2,228600,0.00175284837861525,0.00263157894736842,0.0274157303370787,,,"2007-02","2007-Q1",263900,-0.133762788935203,"2004-11"
2018-10-31,39051,"Houston","TX","Houston-The Woodlands-Sugar Land","Harris County",3,181800,0.00165289256198347,0.0111234705228031,0.0681551116333725,,,"2018-10","2018-Q4",181800,0,"2018-10"
2018-10-31,6915,"San Antonio","TX","San Antonio-New Braunfels","Bexar County",4,172400,0.00700934579439252,0.0195150798344175,0.0897597977243995,,,"2018-10","2018-Q4",172400,0,"2018-10"
2018-10-31,13271,"Philadelphia","PA","Philadelphia-Camden-Wilmington","Philadelphia County",5,154400,0.00915032679738562,0.0265957446808511,0.113997113997114,,,"2018-10","2018-Q4",154400,0,"2018-10"
2018-10-31,40326,"Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",6,237700,0.00805767599660729,0.0210481099656357,0.0878718535469108,,,"2006-05","2006-Q2",252300,-0.0578676179151803,"2005-11"
2018-10-31,18959,"Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",7,272000,0.0100259933160045,0.0377718428080885,0.155480033984707,,,"2006-06","2006-Q2",312200,-0.128763613068546,"2004-12"
2018-10-31,54296,"San Diego","CA","San Diego-Carlsbad","San Diego County",8,629000,0.000954805856142584,0.00898299647096567,0.0550150956055015,,,"2018-10","2018-Q4",629000,0,"2018-10"
2018-10-31,38128,"Dallas","TX","Dallas-Fort Worth-Arlington","Dallas County",9,198400,0.00659563673262303,0.0200514138817481,0.123442808607022,,,"2018-10","2018-Q4",198400,0,"2018-10"
2018-10-31,33839,"San Jose","CA","San Jose-Sunnyvale-Santa Clara","Santa Clara County",10,1098400,0.00438917337234821,0.00622938805423232,0.152933767187992,,,"2018-10","2018-Q4",1098400,0,"2018-10"
2018-10-31,10221,"Austin","TX","Austin-Round Rock","Travis County",11,357800,0.00675295441755768,0.0196637218580792,0.094859241126071,,,"2018-10","2018-Q4",357800,0,"2018-10"
2018-10-31,25290,"Jacksonville","FL","Jacksonville","Duval County",12,170700,0.00826934435912581,0.0227681246255243,0.0970437017994859,,,"2006-10","2006-Q4",182000,-0.0620879120879121,"2006-01"
2018-10-31,20330,"San Francisco","CA","San Francisco-Oakland-Hayward","San Francisco County",13,1387700,0.00769733497930433,0.0217951549959502,0.0815213155638688,,,"2018-10","2018-Q4",1387700,0,"2018-10"
2018-10-31,32149,"Indianapolis","IN","Indianapolis-Carmel-Anderson","Marion County",14,135400,0.012715033657442,0.0320121951219512,0.131161236424394,,,"2018-10","2018-Q4",135400,0,"2018-10"
2018-10-31,24043,"Charlotte","NC","Charlotte-Concord-Gastonia","Mecklenburg County",15,218900,0.00875576036866359,0.0243331773514272,0.105555555555556,,,"2018-10","2018-Q4",218900,0,"2018-10"
2018-10-31,18172,"Fort Worth","TX","Dallas-Fort Worth-Arlington","Tarrant County",16,190400,0.00900900900900901,0.0253096392030156,0.106976744186047,,,"2018-10","2018-Q4",190400,0,"2018-10"
2018-10-31,10920,"Columbus","OH","Columbus","Franklin County",17,148900,0.00472334682860999,0.0170765027322404,0.0743145743145743,,,"2018-10","2018-Q4",148900,0,"2018-10"
2018-10-31,7481,"Tucson","AZ","Tucson","Pima County",18,185100,0.00488599348534202,0.021523178807947,0.0749128919860627,,,"2006-07","2006-Q3",215200,-0.139869888475836,"2005-06"
2018-10-31,12455,"Louisville","KY","Louisville/Jefferson County","Jefferson County",19,157700,0.00254291163382072,0.0108974358974359,0.0485372340425532,,,"2018-10","2018-Q4",157700,0,"2018-10"
2018-10-31,17933,"El Paso","TX","El Paso","El Paso County",20,126300,0.00158604282315623,0.0152733118971061,0.0420792079207921,,,"2007-11","2007-Q4",128300,-0.0155884645362432,"2007-08"
2018-10-31,13121,"Orlando","FL","Orlando-Kissimmee-Sanford","Orange County",21,234200,-0.000426803243704652,0.00601374570446736,0.0969555035128806,,,"2006-09","2006-Q3",263200,-0.110182370820669,"2006-01"
2018-10-31,11093,"Denver","CO","Denver-Aurora-Lakewood","Denver County",22,421500,0.00668736565560067,0.0137085137085137,0.0791090629800307,,,"2018-10","2018-Q4",421500,0,"2018-10"
2018-10-31,16037,"Seattle","WA","Seattle-Tacoma-Bellevue","King County",23,733400,-0.0027196083763938,-0.0153061224489796,0.0263084242933109,,,"2018-05","2018-Q2",751900,-0.0246043356829366,"2018-01"
2018-10-31,32811,"Memphis","TN","Memphis","Shelby County",24,84200,0.00477326968973747,0.0120192307692308,0.0685279187817259,,,"2007-05","2007-Q2",88100,-0.0442678774120318,"2005-09"
2018-10-31,44269,"Boston","MA","Boston-Cambridge-Newton","Suffolk County",25,593500,0.00406022669599053,0.0155715263518138,0.0661038261181965,,,"2018-10","2018-Q4",593500,0,"2018-10"
2018-10-31,41568,"Washington","DC","Washington-Arlington-Alexandria","District of Columbia",26,575800,0.00629150646627053,0.0142680993482473,0.051689497716895,,,"2018-10","2018-Q4",575800,0,"2018-10"
2018-10-31,6118,"Nashville","TN","Nashville-Davidson--Murfreesboro--Franklin","Davidson County",27,261300,0.00654853620955316,0.0187134502923977,0.0919348098620978,,,"2018-10","2018-Q4",261300,0,"2018-10"
2018-10-31,13373,"Portland","OR","Portland-Vancouver-Hillsboro","Multnomah County",28,422400,-0.00165445521153392,-0.00377358490566038,0.00619342544068604,,,"2018-03","2018-Q1",428300,-0.013775391081018,"2018-01"
2018-10-31,20288,"Sacramento","CA","Sacramento--Roseville--Arden-Arcade","Sacramento County",29,319500,0.00093984962406015,0.00440113171958504,0.0558493060145407,,,"2005-12","2005-Q4",348900,-0.0842648323301806,"2005-03"
2018-10-31,3523,"Baltimore","MD","Baltimore-Columbia-Towson","Baltimore City",30,118700,0.0127986348122867,0.0153977758768178,0.256084656084656,,,"2007-09","2007-Q3",138100,-0.140477914554671,"2006-06"
2018-10-31,5976,"Milwaukee","WI","Milwaukee-Waukesha-West Allis","Milwaukee County",31,117600,0.00684931506849315,0.0270742358078603,0.093953488372093,,,"2007-04","2007-Q2",138100,-0.148443157132513,"2004-09"
2018-10-31,18203,"Fresno","CA","Fresno","Fresno County",32,235000,0.00642398286937901,0.0173160173160173,0.0647938377888536,,,"2006-05","2006-Q2",293300,-0.198772587794068,"2005-01"
2018-10-31,40152,"Omaha","NE","Omaha-Council Bluffs","Douglas County",33,170200,0.00591016548463357,0.0155131264916468,0.0765338393421885,,,"2018-10","2018-Q4",170200,0,"2018-10"
2018-10-31,23429,"Albuquerque","NM","Albuquerque","Bernalillo County",34,197700,0.00406297613001524,0.0159301130524152,0.0657681940700809,,,"2018-10","2018-Q4",197700,0,"2018-10"
2018-10-31,33225,"Oklahoma City","OK","Oklahoma City","Oklahoma County",35,127700,0.00314218381775334,0.00868878357030016,0.0191540303272147,,,"2018-10","2018-Q4",127700,0,"2018-10"
2018-10-31,54047,"Raleigh","NC","Raleigh","Wake County",36,267500,0.00412912912912913,0.0140257771038666,0.0606661379857256,,,"2018-10","2018-Q4",267500,0,"2018-10"
2018-10-31,19331,"Mesa","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",37,245100,0.00822706705059646,0.0208246563931695,0.0835543766578249,,,"2006-05","2006-Q2",254400,-0.0365566037735849,"2005-12"
2018-10-31,37211,"Atlanta","GA","Atlanta-Sandy Springs-Roswell","Fulton County",38,252000,0.0124548011249498,0.0323637853338796,0.145975443383356,,,"2018-10","2018-Q4",252000,0,"2018-10"
