"Date","RegionID","RegionName","State","Metro","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2018-10-31,3101,"Los Angeles County","CA","Los Angeles-Long Beach-Anaheim",0,613100,0.0045879075864329,0.00938426078366809,0.0530745448299553,,,"2018-10","2018-Q4",613100,0,"2018-10"
2018-10-31,139,"Cook County","IL","Chicago-Naperville-Elgin",1,222800,0.0027002700270027,0.00586907449209932,0.0450281425891182,,,"2007-02","2007-Q1",267000,-0.165543071161049,"2004-05"
2018-10-31,1090,"Harris County","TX","Houston-The Woodlands-Sugar Land",2,186200,0.00377358490566038,0.0136091453456723,0.0615735461801596,,,"2018-10","2018-Q4",186200,0,"2018-10"
2018-10-31,2402,"Maricopa County","AZ","Phoenix-Mesa-Scottsdale",3,267200,0.00564546480993602,0.0163560289083302,0.0743868114193808,,,"2006-05","2006-Q2",290300,-0.0795728556665518,"2005-10"
2018-10-31,2841,"San Diego County","CA","San Diego-Carlsbad",4,589800,0.00186852386614574,0.00924024640657084,0.0535905680600214,,,"2018-10","2018-Q4",589800,0,"2018-10"
2018-10-31,1286,"Orange County","CA","Los Angeles-Long Beach-Anaheim",5,720800,0,0.00487940889446536,0.0456985347453939,,,"2018-10","2018-Q4",720800,0,"2018-10"
2018-10-31,581,"Kings County","NY","New York-Newark-Jersey City",6,783700,0.000766185672327927,-0.00012758356723654,0.0464681532914942,,,"2018-06","2018-Q2",783900,-0.000255134583492792,"2018-06"
2018-10-31,2964,"Miami-Dade County","FL","Miami-Fort Lauderdale-West Palm Beach",7,299900,0.00469011725293132,0.0121498481268984,0.0699250802711381,,,"2007-02","2007-Q1",325100,-0.0775146108889572,"2006-03"
2018-10-31,978,"Dallas County","TX","Dallas-Fort Worth-Arlington",8,201500,0.00498753117206983,0.0192210419828022,0.108360836083608,,,"2018-10","2018-Q4",201500,0,"2018-10"
2018-10-31,1347,"Queens County","NY","New York-Newark-Jersey City",9,642700,0.00468969829607629,0.0100581486720101,0.0693843594009983,,,"2018-10","2018-Q4",642700,0,"2018-10"
2018-10-31,2832,"Riverside County","CA","Riverside-San Bernardino-Ontario",10,374900,-0.00319064078702473,0.0037483266398929,0.0463298911526654,,,"2006-07","2006-Q3",426900,-0.121808386038885,"2005-03"
2018-10-31,3250,"San Bernardino County","CA","Riverside-San Bernardino-Ontario",11,343300,0.000291375291375291,0.00497658079625293,0.0674751243781095,,,"2006-07","2006-Q3",390300,-0.120420189597745,"2005-08"
2018-10-31,445,"Clark County","NV","Las Vegas-Henderson-Paradise",12,276200,0.00950292397660819,0.0375657400450789,0.147486497714998,,,"2006-06","2006-Q2",316800,-0.128156565656566,"2004-11"
2018-10-31,207,"King County","WA","Seattle-Tacoma-Bellevue",13,623200,-0.00112197467542875,-0.00685258964143426,0.0449362843729041,,,"2018-06","2018-Q2",630700,-0.0118915490724592,"2018-02"
2018-10-31,791,"Wayne County","MI","Detroit-Warren-Dearborn",14,78000,0.0143042912873862,0.0455764075067024,0.228346456692913,,,"2005-12","2005-Q4",116200,-0.328743545611015,"1999-04"
2018-10-31,2049,"Tarrant County","TX","Dallas-Fort Worth-Arlington",15,207100,0.00827653359298929,0.0206998521439133,0.0998406797663303,,,"2018-10","2018-Q4",207100,0,"2018-10"
2018-10-31,3136,"Santa Clara County","CA","San Jose-Sunnyvale-Santa Clara",16,1299900,0.00215866162978953,0.00161812297734628,0.166038751345533,,,"2018-10","2018-Q4",1299900,0,"2018-10"
2018-10-31,1561,"Broward County","FL","Miami-Fort Lauderdale-West Palm Beach",17,261600,0.00422264875239923,0.0151338766006985,0.0986980260394792,,,"2006-10","2006-Q4",292400,-0.105335157318741,"2005-10"
2018-10-31,386,"Bexar County","TX","San Antonio-New Braunfels",18,177900,0.0067911714770798,0.0171526586620926,0.0678271308523409,,,"2018-10","2018-Q4",177900,0,"2018-10"
2018-10-31,2452,"New York County","NY","New York-Newark-Jersey City",19,1282000,-0.0056619871247964,-0.0189025790158414,-0.0312830587879704,,,"2017-07","2017-Q3",1327200,-0.0340566606389391,"2015-11"
2018-10-31,3175,"Philadelphia County","PA","Philadelphia-Camden-Wilmington",20,154000,0.00851342501637197,0.0259826782145237,0.11271676300578,,,"2018-10","2018-Q4",154000,0,"2018-10"
2018-10-31,1510,"Alameda County","CA","San Francisco-Oakland-Hayward",21,883900,0.00614684120660216,0.0136467889908257,0.0954269426199033,,,"2018-10","2018-Q4",883900,0,"2018-10"
2018-10-31,2801,"Middlesex County","MA","Boston-Cambridge-Newton",22,541400,0.00185048112509252,0.00706845238095238,0.0599060297572435,,,"2018-10","2018-Q4",541400,0,"2018-10"
2018-10-31,2046,"Suffolk County","NY","New York-Newark-Jersey City",23,381400,0.00739566825145272,0.0165245202558635,0.0159829515183804,,,"2006-05","2006-Q2",448000,-0.148660714285714,"2004-08"
2018-10-31,3017,"Sacramento County","CA","Sacramento--Roseville--Arden-Arcade",24,362700,0.00193370165745856,0.00777993887190886,0.0519141531322506,,,"2005-11","2005-Q4",385800,-0.0598755832037325,"2005-03"
2018-10-31,401,"Bronx County","NY","New York-Newark-Jersey City",25,430200,0.00796626054358013,0.0242857142857143,0.136291600633914,,,"2018-10","2018-Q4",430200,0,"2018-10"
2018-10-31,1252,"Nassau County","NY","New York-Newark-Jersey City",26,534400,0.0064030131826742,0.0088729469511044,0.0748189863234111,,,"2018-10","2018-Q4",534400,0,"2018-10"
2018-10-31,2993,"Palm Beach County","FL","Miami-Fort Lauderdale-West Palm Beach",27,275100,0.0051150895140665,0.0170055452865065,0.0762910798122066,,,"2006-06","2006-Q2",325100,-0.153798831128883,"2005-05"
2018-10-31,2241,"Cuyahoga County","OH","Cleveland-Elyria",28,127200,0.00632911392405063,0.0159744408945687,0.066219614417435,,,"2005-07","2005-Q3",135100,-0.0584752035529238,"2003-06"
2018-10-31,3165,"Hillsborough County","FL","Tampa-St. Petersburg-Clearwater",29,217900,0.0055376095985233,0.0153774464119292,0.0878681977034448,,,"2006-09","2006-Q3",230700,-0.0554833116601647,"2006-04"
2018-10-31,2614,"Allegheny County","PA","Pittsburgh",30,151500,0.00132187706543291,0.00798403193612774,0.0767590618336887,,,"2018-10","2018-Q4",151500,0,"2018-10"
2018-10-31,1950,"Oakland County","MI","Detroit-Warren-Dearborn",31,243900,-0.00163733115022513,-0.00245398773006135,0.0572171651495449,,,"2018-08","2018-Q3",244900,-0.00408329930583912,"2018-07"
