"Date","RegionID","RegionName","State","Metro","County","City","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2018-10-31,274772,"Northeast Dallas","TX","Dallas-Fort Worth-Arlington","Dallas County","Dallas",0,319600,0.00598048473402581,0.00852003786683496,0.057577763070814,,,"2018-10","2018-Q4",319600,0,"2018-10"
2018-10-31,192689,"Paradise","NV","Las Vegas-Henderson-Paradise","Clark County","Las Vegas",1,257800,0.00979240109674892,0.0403551251008878,0.164408310749774,,,"2006-07","2006-Q3",299100,-0.138080909394851,"2005-01"
2018-10-31,270958,"Upper West Side","NY","New York-Newark-Jersey City","New York County","New York",2,1367600,-0.0061768766804738,-0.0160443197352328,-0.0578671810416093,,,"2017-07","2017-Q3",1473600,-0.0719326818675353,"2015-11"
2018-10-31,118208,"South Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County","Los Angeles",3,471800,0.0042571306939123,0.012881064834693,0.0923824959481361,,,"2018-10","2018-Q4",471800,0,"2018-10"
2018-10-31,270957,"Upper East Side","NY","New York-Newark-Jersey City","New York County","New York",4,1336900,-0.00977705355158877,-0.0260090339501676,-0.0205860805860806,,,"2017-06","2017-Q2",1395400,-0.0419234628063638,"2016-11"
2018-10-31,192820,"Sunrise Manor","NV","Las Vegas-Henderson-Paradise","Clark County","Las Vegas",5,216900,0.0144995322731525,0.0549610894941634,0.195700110253583,,,"2006-09","2006-Q3",259500,-0.164161849710983,"2005-04"
2018-10-31,192796,"Spring Valley","NV","Las Vegas-Henderson-Paradise","Clark County","Las Vegas",6,275400,0.00953079178885631,0.0368975903614458,0.148457047539616,,,"2006-06","2006-Q2",315400,-0.126823081800888,"2004-12"
2018-10-31,268496,"Southeast Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County","Los Angeles",7,377600,0.00908605024051309,0.0260869565217391,0.0884981262611704,,,"2007-04","2007-Q2",400400,-0.0569430569430569,"2006-07"
2018-10-31,194430,"East New York","NY","New York-Newark-Jersey City","Kings County","New York",8,433900,0.013785046728972,0.0427781783225186,0.0772095332671301,,,"2018-10","2018-Q4",433900,0,"2018-10"
2018-10-31,112547,"Paradise Valley","AZ","Phoenix-Mesa-Scottsdale","Maricopa County","Phoenix",9,335200,0.00239234449760766,0.0117718080289768,0.0661577608142494,,,"2006-05","2006-Q2",363600,-0.0781078107810781,"2005-10"
2018-10-31,198687,"Washington Heights","NY","New York-Newark-Jersey City","New York County","New York",10,667800,0.0267527675276753,0.0511569337320951,0.0642231075697211,,,"2018-10","2018-Q4",667800,0,"2018-10"
2018-10-31,111818,"Deer Valley","AZ","Phoenix-Mesa-Scottsdale","Maricopa County","Phoenix",11,248800,0.00810372771474878,0.0188370188370188,0.0618864703371746,,,"2006-05","2006-Q2",268000,-0.0716417910447761,"2005-11"
2018-10-31,267955,"North Mountain","AZ","Phoenix-Mesa-Scottsdale","Maricopa County","Phoenix",12,215600,0.0141110065851364,0.0335570469798658,0.113636363636364,,,"2006-06","2006-Q2",223300,-0.0344827586206897,"2006-01"
2018-10-31,272816,"Astoria","NY","New York-Newark-Jersey City","Queens County","New York",13,826600,0.0147311563957771,0.0304163550236849,0.0499174393496761,,,"2018-10","2018-Q4",826600,0,"2018-10"
2018-10-31,273698,"Far North","TX","Dallas-Fort Worth-Arlington","Dallas County","Dallas",14,382200,0.00341296928327645,0.00711462450592885,0.0628476084538376,,,"2018-10","2018-Q4",382200,0,"2018-10"
2018-10-31,272902,"Bedford Stuyvesant","NY","New York-Newark-Jersey City","Kings County","New York",15,835000,0.00336457582311944,0.0194115492613844,0.101437805038913,,,"2018-10","2018-Q4",835000,0,"2018-10"
2018-10-31,199001,"Williamsburg","NY","New York-Newark-Jersey City","Kings County","New York",16,896100,0.00459641255605381,0.00741989881956155,0.0206150341685649,,,"2018-10","2018-Q4",896100,0,"2018-10"
2018-10-31,32059,"Hollywood","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County","Los Angeles",17,863400,0.00817375058383933,0.0251721681310853,0.115503875968992,,,"2018-10","2018-Q4",863400,0,"2018-10"
2018-10-31,267908,"Camelback East","AZ","Phoenix-Mesa-Scottsdale","Maricopa County","Phoenix",18,331500,0.00698663426488457,0.015625,0.0776983094928479,,,"2018-10","2018-Q4",331500,0,"2018-10"
2018-10-31,273566,"East Side","TX","El Paso","El Paso County","El Paso",19,131300,0.00382262996941896,0.0225856697819315,0.0462151394422311,,,"2007-11","2007-Q4",137100,-0.0423048869438366,"2007-05"
2018-10-31,194737,"Flatbush","NY","New York-Newark-Jersey City","Kings County","New York",20,1086400,0.0114514477236756,0.069923182982076,0.220537018312549,,,"2018-10","2018-Q4",1086400,0,"2018-10"
2018-10-31,275473,"Southeast Dallas","TX","Dallas-Fort Worth-Arlington","Dallas County","Dallas",21,124300,0.008110300081103,0.018018018018018,0.158434296365331,,,"2018-10","2018-Q4",124300,0,"2018-10"
2018-10-31,272734,"Alhambra","AZ","Phoenix-Mesa-Scottsdale","Maricopa County","Phoenix",22,184200,0.0143171806167401,0.0233333333333333,0.0555873925501433,,,"2007-06","2007-Q2",204500,-0.0992665036674817,"2005-11"
2018-10-31,403222,"Crown Heights","NY","New York-Newark-Jersey City","Kings County","New York",23,986500,-0.00232605177993528,-0.00564459227900413,-0.00714573268921095,,,"2017-04","2017-Q2",1008200,-0.0215235072406269,"2016-12"
2018-10-31,25294,"Jamaica","NY","New York-Newark-Jersey City","Queens County","New York",24,452400,0.00757238307349666,0.0200676437429538,0.154670750382848,,,"2018-10","2018-Q4",452400,0,"2018-10"
2018-10-31,35521,"Enterprise","NV","Las Vegas-Henderson-Paradise","Clark County","Las Vegas",25,301100,0.00904825737265416,0.0332875772134523,0.134086629001883,,,"2006-06","2006-Q2",359100,-0.161514898357004,"2004-11"
2018-10-31,343222,"Williamsbridge","NY","New York-Newark-Jersey City","Bronx County","New York",26,429600,0.0044423661444938,0.0240762812872467,0.103519136912407,,,"2018-10","2018-Q4",429600,0,"2018-10"
2018-10-31,270828,"East Harlem","NY","New York-Newark-Jersey City","New York County","New York",27,837600,0.00431654676258993,0.00867052023121387,0.00395541172240201,,,"2018-05","2018-Q2",838200,-0.000715819613457409,"2018-05"
2018-10-31,274742,"North Scottsdale","AZ","Phoenix-Mesa-Scottsdale","Maricopa County","Scottsdale",28,560700,0.00501882057716437,0.0124593716143012,0.0464725643896977,,,"2006-03","2006-Q1",667000,-0.159370314842579,"2005-06"
2018-10-31,275237,"Roosevelt","CA","Fresno","Fresno County","Fresno",29,180800,0.0134529147982063,0.0414746543778802,0.142857142857143,,,"2006-07","2006-Q3",242300,-0.253817581510524,"2005-02"
2018-10-31,267971,"South Mountain","AZ","Phoenix-Mesa-Scottsdale","Maricopa County","Phoenix",30,190600,0.0100688924218336,0.0319436924742826,0.124483775811209,,,"2007-01","2007-Q1",207200,-0.0801158301158301,"2006-01"
2018-10-31,273565,"East San Jose","CA","San Jose-Sunnyvale-Santa Clara","Santa Clara County","San Jose",31,785100,0.00409259496099245,0.0110753380553767,0.134701546466252,,,"2018-10","2018-Q4",785100,0,"2018-10"
2018-10-31,193587,"Bushwick","NY","New York-Newark-Jersey City","Kings County","New York",32,762500,-0.000524315113383143,-0.0121777432309885,-0.0128171931641636,,,"2018-04","2018-Q2",790900,-0.0359084587179163,"2017-09"
