RegionID,RegionName,StateName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10
12447,Los Angeles,California,1,509400,481700,461200,451e3,432400,418200,402200,397600,385900,374900,364300,351200,343400,325100,321300,323700,328700,334600,337200,345900,347400,355100,367200,370100,365800,349600,350600,347800,349500,345800,350100,352400,358500,364500,367300,364e3,351400,344600,345e3,344700,341600,338100,336800,334400,331500,332400,338800,337900,336600,334100,337100,341300,347800,357100,371300,377200,385100,400400,415100,422100,418700,425900,440700,454900,462e3,464900,468500,476200,481600,482900,486900,489900,501300,502e3,508500,503600,505500,506800,504e3,506200,503700,51e4,535200,545300,549800,530300,527100,530300,531900,540100,542900,546800,549900,56e4,585e3,587100,584400,570300,571600,573500,567400,574900,581900,593e3,600300,602700,634300,635200,642300,616400,619900,622e3,633e3,630300,635100,641e3,655700,664e3,676600,692300,702300,697e3,687100,688200,682100,691900,684100,698500
17426,Chicago,Illinois,2,326e3,315100,294100,279400,275100,272500,271900,271600,265500,261900,251900,247500,248600,246300,240100,227700,226600,229500,229900,230700,237500,238800,242800,229e3,224600,219400,225500,227600,219700,211300,198200,200800,206500,210700,209500,202400,195200,184900,179400,187300,197100,204700,202e3,198500,189900,190900,185700,182700,177100,178300,183300,191400,197400,205e3,210100,207800,208300,200600,206200,198800,201300,199300,214100,227e3,239900,245200,247100,251800,251400,249800,247200,253200,254900,253100,251400,254600,254200,255700,258300,263500,265800,264600,268200,263500,264900,264400,269700,268700,267500,264600,262800,259300,255100,255500,261100,265200,269600,268100,269600,265100,268700,270100,268900,268100,275300,283200,295700,293300,301300,292100,286e3,273400,267300,267e3,266200,268800,273300,276300,281400,284800,302500,300900,297800,279200,276700,271800,269500,266500
6915,San Antonio,Texas,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163100,162800,161900,163600,163500,165500,165900,168900,170200,172800,171800,171600,170800,171700,172500,172300,176900,176500,177800,174200,173900,177400,178200,179300,175800,176300,176800,177900,179e3,180300,180800,178800,179500,179200,178800,178e3,178700,179600,180400,183100,189900,195500,199300,197e3,193600,191800,192200,193200,192e3,190700,19e4,189800,193400
13271,Philadelphia,Pennsylvania,4,109800,110200,111200,109800,108200,111600,115100,116600,114800,110700,108e3,102600,102400,109500,111700,113500,109100,116400,122700,125300,129800,126800,124600,114600,115300,117800,120700,119500,115300,106900,105700,101300,111300,105500,109200,104600,107600,110700,110100,111200,105100,106800,106500,107400,103700,104e3,104200,101500,99600,102300,108200,107200,107200,109600,110600,107e3,106800,110900,115200,112e3,106900,106800,108400,112800,115100,116200,116900,116400,116800,117900,119500,121300,126400,124800,123e3,118100,117600,120200,119800,121e3,118300,118200,118200,112900,114200,114900,118700,120400,120400,121500,123700,126500,127e3,122100,127400,128300,128300,120600,122e3,123600,126400,126800,131100,128200,130600,129600,133400,134800,136700,140400,141900,144300,144100,146600,146900,145700,148800,150100,155400,149700,146900,142600,146600,147100,148600,148400,151300,
40326,Phoenix,Arizona,5,220600,213300,207e3,198600,187500,176700,166800,154100,139100,122500,107600,92900,81300,74800,74400,82400,88500,95200,95300,97100,103500,105e3,105400,102500,102200,103900,103900,105700,102400,98e3,95e3,93700,89900,84700,83700,83100,82900,80600,80400,82500,83800,86600,89300,91300,96200,99e3,100300,99900,101800,107600,115800,122300,126500,130300,129900,134200,137400,142800,145800,144600,145300,147800,153900,160200,163400,165200,165e3,165100,164200,165e3,165200,166e3,166600,167e3,164700,163100,164700,168800,173400,173800,173700,175300,177300,180700,180300,182900,186700,190600,188900,187600,187800,192900,196300,198200,198200,197200,201200,203900,206100,205100,203800,204900,207700,209800,211900,211600,214500,216e3,217800,217500,216e3,215e3,216900,219600,221500,223700,226800,230500,236200,238500,237800,236400,234300,237500,237600,239300,238200,238800
18959,Las Vegas,Nevada,6,245700,239500,235600,230500,220200,208900,193700,184200,173900,165600,158200,149800,142300,130900,123900,120800,120100,118200,115800,117e3,118600,121100,123e3,123600,123200,124100,126200,129e3,125700,124400,119300,118300,115800,114900,115e3,113900,110900,108800,107900,109300,107700,104900,102400,102900,104e3,105500,106500,106600,107800,109700,112900,117400,119600,122400,123300,126200,130100,132800,136900,139500,143100,145300,148400,155700,159400,163e3,160700,162600,163e3,165900,166800,168600,170300,172e3,172300,164100,163e3,167200,177e3,179700,178500,178600,179300,182400,182700,185200,185700,187200,189e3,188300,189300,187700,19e4,191800,198600,202e3,202800,199800,198300,199200,199200,199900,200300,203500,207200,207100,209700,208500,214e3,214200,219200,225800,229300,23e4,229300,231700,234200,236700,242100,246900,253500,255700,260100,264400,263800,263600,261400,
54296,San Diego,California,7,422700,410700,398600,380300,371100,356e3,347800,331400,318900,306500,295300,301100,295200,294200,290300,308200,323300,332100,339200,344600,344e3,347900,342200,348500,347700,353e3,348900,345700,349500,349600,352900,351200,357500,356900,347200,341400,337800,345500,343600,338300,334e3,328800,326600,323100,324100,328300,329200,331800,335700,344200,351400,355700,365700,368100,370600,368500,378500,388200,397900,404900,410300,418900,426800,431700,433700,430100,435100,430300,432600,432700,439e3,441200,442200,443500,445800,446300,449900,454500,458500,461100,460500,460500,463400,475600,484500,485400,477700,476200,479500,480700,472700,464900,469200,485600,501300,504600,494700,497900,496900,503100,500100,503300,505600,511e3,515400,517700,525900,539800,545600,539600,531200,538400,544e3,548e3,547600,548e3,559800,567500,575200,576200,578600,584900,588300,594e3,593900,596700,599200,590200
38128,Dallas,Texas,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270300,265400,269700,265200,264400,259700,262900,264200,271600,270600,273500,270800,275e3,274200,274900,271e3,276100,280200,282200,277300,272900,276200,276900,279500,279500,282900,280300,279100,274300,275200,277200,281700,279300,291e3,293600,297700,287100,287e3,295200,291400,280900,
33839,San Jose,California,9,615700,580900,565200,546400,533700,521800,499600,476200,445e3,427600,423200,416500,396900,370200,360100,368500,394300,403100,416700,419700,437400,450700,461500,465900,465800,452e3,454e3,449600,458300,455600,458e3,456e3,452400,451300,451e3,439600,429500,416700,415100,423900,425400,432400,430500,425500,424600,421700,434200,431800,431700,435100,439300,451600,465600,493700,508800,515500,518900,525200,542900,548300,555400,561800,579e3,594e3,599100,600900,602800,607600,611100,617700,623900,627100,623700,628100,633900,643e3,637900,647e3,650800,660300,664400,669700,678300,666200,674600,678300,699400,705700,713600,720800,726700,730700,731600,739e3,739100,744900,747900,756100,762700,762200,766e3,763700,762200,767900,778200,786400,799100,807800,818200,815300,814300,819600,830600,840500,855400,879900,913300,961600,990300,1028500,1046300,1063600,1064200,1051800,1026700,1014800,1007600,
10221,Austin,Texas,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26e4,261200,262400,269800,273200,273800,278900,28e4,279800,278300,28e4,291900,295500,296e3,290600,285900,288200,286400,290100,291800,297700,302800,307400,307700,305500,305e3,310900,314900,314700,314e3,315500,314600,315200,317100,319300,325600,330100,333100,328600,327100,331900,344500,341600,342500,341e3,347800,350100,344200,341300,344100,349500,358700,
