RegionID,RegionName,StateName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10
3101,Los Angeles County,California,1,459600,448500,432200,421e3,404800,389600,372700,362200,351800,339600,321800,309900,302600,299300,295800,299800,307200,315e3,322200,328200,332400,336600,337400,337400,334700,333700,338200,336300,337800,332500,337900,336400,339e3,337300,331300,328700,323700,327900,326700,322900,320300,316600,317200,311500,312200,311500,310200,308600,308e3,314300,317400,321200,325800,331900,341700,349600,359800,367200,367200,366800,371900,388e3,403200,414200,420400,424700,425800,430300,434100,437100,432200,434700,437e3,445900,448e3,448700,451600,453e3,453600,453100,453900,457100,461800,469600,474500,476300,474900,479200,479600,483800,485700,488900,488500,494400,496100,498500,496500,503800,509400,511700,511600,512200,515900,520600,529e3,533500,536900,536500,539400,541300,545500,548e3,553400,557500,564200,567500,573100,576200,579200,586300,589200,592400,591900,595500,597200,598800,596800,601200
139,Cook County,Illinois,2,,,,,,,,,,,,,,,,198e3,201100,203900,205e3,206600,212200,214200,215700,207100,200200,194600,195700,199800,196700,190200,179600,179800,185200,191900,192900,189600,180300,170400,161900,163300,168800,174400,174800,172300,166700,168e3,166100,163700,157800,154600,154800,161e3,164700,170400,171e3,168200,168200,164500,169200,164300,161200,156200,165100,180100,196900,204100,205600,206900,205600,206500,205e3,209400,203500,198e3,196e3,204400,209200,211500,214800,218500,220100,217900,220500,218600,218400,216300,220700,223300,225900,222600,222700,220800,219900,218700,220100,222e3,222500,223100,224600,225300,226700,227700,224700,224400,228900,237400,243900,245500,246400,243e3,239e3,235600,233800,232100,229100,229800,233400,239500,245600,251e3,254700,250800,247300,246200,244500,238400,231300,231800
2402,Maricopa County,Arizona,3,229200,223200,217300,212500,205e3,197e3,186800,178400,168500,158800,147800,137400,129600,123400,120300,122e3,124900,128500,130500,132500,135900,136800,136500,135900,135400,137e3,135600,134900,131500,128600,126300,125400,124400,121300,119200,118700,118300,117100,114400,115400,115200,115800,116600,118400,123700,125900,128400,129400,133100,138500,144900,151200,154100,157600,156400,160700,162700,167300,167800,168700,171100,175100,179600,183600,187e3,188200,189500,191400,192300,192600,191900,191600,192600,193e3,193300,192300,193e3,195e3,197e3,197700,197300,198700,200200,203e3,204300,205300,207300,209800,211300,211100,211900,215e3,217100,220800,221300,223200,221600,222700,224e3,226100,227e3,228e3,229200,230800,232600,234300,235900,237200,238900,241500,243300,244300,246e3,247800,249600,252100,254700,257500,259300,261e3,259400,257400,255200,258700,262200,264800,263400,263500
2841,San Diego County,California,4,402600,394900,379900,368400,353100,341200,331100,320300,308400,298700,289900,288e3,282700,282900,281700,290200,298800,308100,314700,320400,326e3,330700,326800,328200,328800,336400,335400,332200,331e3,329900,336e3,336300,338e3,336100,327900,323100,319500,323200,322500,318300,317e3,317500,315600,314800,313700,317300,317e3,317300,318500,323800,329100,331100,334900,338700,346900,351900,360600,369100,371400,371900,373200,385500,397e3,404900,409700,410300,414300,413300,416700,418900,418800,418600,420900,426500,430200,429700,432800,435700,438200,439500,438300,437400,442700,447900,452e3,449800,45e4,454300,457100,459400,457e3,458100,463800,469800,473200,471700,472100,476300,479500,480200,478e3,482e3,485900,493600,494700,498200,498700,504100,507600,510900,512900,517900,520100,522600,526200,528800,537700,542100,544e3,544600,544900,554700,555800,559e3,558600,561800,565500,562600
1286,Orange County,California,5,511600,505500,491400,472700,457600,444700,434700,424700,409300,400100,384400,383900,381400,381700,386400,395300,409600,419e3,425900,435300,44e4,443700,443700,443700,443400,439500,438e3,435400,439700,438700,442500,444e3,443700,434300,425700,422200,429700,429400,426e3,417700,416900,416100,417500,413600,410600,404800,404400,402400,403900,406700,414200,423300,433e3,441200,447e3,452900,459e3,466400,465500,474600,485300,506e3,515300,520600,522100,525400,527800,529400,531500,538e3,540700,545700,545600,546600,550600,550600,551100,550300,554700,568e3,570800,569900,559600,564900,570400,578400,576e3,582e3,587500,593e3,592600,592900,596200,598600,603400,602900,605e3,606e3,610600,614300,613100,620400,620900,635200,634600,640200,635e3,636500,641900,643900,650200,650600,657600,654600,661500,665900,676200,676300,680700,692800,71e4,710600,705300,697800,703800,706200,712200,
2964,Miami-Dade County,Florida,6,294100,285900,274e3,258500,248200,244300,237700,227400,214900,206700,193700,182400,173400,165500,157100,15e4,150700,154400,156600,156300,158700,160800,170100,172400,178600,174e3,173500,164900,155900,147900,140100,142800,145500,145500,134100,127800,126900,135200,141900,148600,161600,160500,158600,151800,152500,158600,164200,167e3,166400,167800,169200,172e3,170600,171400,171400,170200,171800,178200,183700,189500,188900,192400,196300,201800,203400,206300,204800,200900,203400,202400,208e3,196200,194800,195900,205e3,208700,211700,210400,210500,209e3,210300,213500,213400,216300,219600,220900,223600,224e3,226e3,224200,224800,224800,225800,226900,23e4,233300,233800,233100,231900,232400,235300,24e4,242200,246800,250900,253800,255800,254700,256900,256200,252600,250200,247600,253700,258e3,258700,258200,259300,268400,277e3,289400,289900,291100,289e3,291300,293500,290900,289400
978,Dallas County,Texas,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192600,188900,189300,188100,187e3,187700,189400,191300,193200,191900,191700,192500,195300,198200,197600,196300,198100,200900,203800,202800,204500,205700,207400,206100,208e3,208500,209300,211900,213100,215800,215200,221700,222500,231e3,230100,230200,222700,223e3,226700,229100,230100,
2832,Riverside County,California,8,317200,299700,282700,271e3,259300,246800,235400,227300,218e3,208800,200100,193100,184400,175300,169100,168500,169700,171400,173200,176400,181500,185100,190600,193400,193600,190200,190800,192800,193900,191700,191700,192200,190900,190100,190100,193100,192e3,188600,185500,184900,184500,182900,183100,184200,185800,184400,185500,186500,188300,191400,192800,195400,196500,199200,203700,209800,215900,221500,226400,230500,234800,237400,242e3,247800,252100,254500,257300,260800,267300,270400,276800,280700,282200,279800,280300,281800,284e3,284100,284200,285700,286300,288600,289800,296800,297100,3e5,295500,297800,298700,300300,301700,302500,303300,304700,307400,309800,312900,313500,314500,315100,315900,318400,321700,325e3,327400,328100,329600,334100,335800,339600,338200,340800,342500,345100,346800,349200,351700,353e3,359300,368900,370200,368300,364500,368200,367800,367900,371600,372800
3250,San Bernardino County,California,9,270400,257200,241700,233200,221200,212500,198900,192e3,184e3,177100,168300,159600,152700,142600,136600,133300,133200,134700,135600,139600,143800,148e3,150100,150400,149900,149100,148500,150500,151200,153300,152e3,151700,150600,150300,151500,152900,153e3,149800,145700,143700,145100,147300,147800,148100,148700,148e3,147800,146600,148100,149600,151300,154300,156500,160400,161400,164300,170300,175100,178800,177100,180400,183100,189400,194300,197500,201800,206600,215800,216500,220300,219900,225300,224200,226e3,227200,231200,232700,233200,229e3,231400,234500,240600,240700,242900,247e3,249600,248500,248400,250900,258400,256e3,254200,253200,258100,261800,263200,265800,265400,266e3,264900,268700,267800,273500,274700,279400,280100,279900,280700,283900,288500,291700,293700,293100,293900,293200,299500,303e3,305700,309800,317700,323900,325700,322700,324500,323800,324400,320200,321600
445,Clark County,Nevada,10,247500,242300,234400,228800,219300,208800,195100,187600,178e3,169900,161100,154900,148600,138300,130300,126300,124900,122200,12e4,121600,123800,124600,124800,124800,125100,125800,127700,130500,128100,126600,122400,122300,120900,119300,118200,117500,115800,114200,112100,112700,110800,108400,106200,107700,109700,110300,110600,110200,111300,113200,116e3,120900,122700,124600,125100,129200,133200,136700,139200,141800,145400,149100,152400,158600,161800,164900,163600,165300,166800,168800,169600,171900,174400,175800,175400,169700,169300,172200,179700,182200,182400,183200,184700,190700,191200,192400,188400,19e4,191100,192900,194e3,194200,195500,196500,200800,205200,206500,204800,203100,204600,205800,205400,205500,207600,210600,210500,213400,215600,220900,221200,223900,230700,234100,234400,232200,235800,238500,241500,245300,252e3,260100,263400,266e3,268600,266300,265600,264300,
