RegionID,RegionName,StateName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10
274772,Northeast Dallas,Texas,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3e5,282900,279300,281800,283700,279300,279100,280600,285200,289700,292200,292500,279100,283200,283500,295400,298900,303300,308900,299900,302100,289400,295800,294e3,307800,31e4,310300,308400,319300,319300,323e3,313300,315e3,317100,341700,345300,337100,315400,326600,343600,348100,345e3,339300,343800,342100,350200,335900,336600,328300,330800,337500,34e4,354e3,355700,360700,355500,347800,
112345,Maryvale,Arizona,2,,,,,,,,,,,,,,,,,,,47800,50600,56e3,55900,56100,53700,52200,52200,50600,52900,51300,48300,45400,42600,42400,40400,42100,41700,42e3,40700,39500,40300,40400,41900,43200,45100,45700,45400,46800,49e3,52100,54600,62200,65600,68100,67500,69800,74500,74e3,75700,84e3,87700,86400,78300,81800,87500,89600,98600,1e5,104200,97400,98200,97200,95500,96400,99100,100600,102200,102800,106200,105600,106e3,105800,114300,112700,115300,112400,116800,118600,119700,123e3,123300,123400,122e3,122300,124700,127900,139600,141e3,142500,136300,137500,140200,140700,144300,146100,149100,149900,150700,152700,153700,155400,153200,154e3,152500,154900,157600,161500,161200,161300,164400,168700,17e4,171e3,171e3,173500,174400,175400,178e3,178400
192689,Paradise,Nevada,3,270500,285800,289800,258300,231900,214100,203100,190900,181400,168100,163800,148500,137700,127200,123300,114500,115100,113700,115300,112800,115100,118e3,117700,117400,115800,116300,116800,116600,117600,114700,112200,105600,105600,104800,106e3,106700,104900,107700,101800,103300,98100,100700,97600,100300,100600,101e3,103100,101600,106300,102600,106e3,106900,115300,113200,115300,112500,122400,127600,133400,135200,135700,139700,140500,143e3,144200,145700,147600,147700,150500,153500,156400,157100,157e3,154800,155800,148800,154600,165800,172700,172400,163400,167800,169e3,17e4,173200,175600,176600,169800,169200,171500,180200,181500,184200,181500,182900,182100,180500,181200,182100,184700,184800,187600,189200,194200,190700,192100,191500,196100,199400,198500,202400,205900,209400,208700,210400,213900,217800,223e3,227800,231300,230400,234400,239900,246700,245900,246500,249900,
270958,Upper West Side,New York,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,982600,979500,914300,981400,1022300,1026500,924700,898300,916200,965100,976e3,991e3,908900,795900,719e3,735800,792100,778800,777300,855e3,880900,931800,830300,892e3,891300,939700,873900,852600,828500,850700,824400,830200,855100,915e3,941900,919200,919500,909900,884e3,854700,903300,957200,977900,935900,944800,904100,906800,885700,894900,894e3,953300,985300,971900,917e3,964900,1071900,1096700,1132900,1138600,1390500,1401800,1426500,1179500,1164400,1077200,1043800,994600,980200,995e3,1135900,1113300,1144600,980400,974800,1020800,1053300,1161200,1196500,1229600,1206900,1147100,1129400,1091300,1168800,1236300,1273100,1142100,1056100,1128500,1180800,1184e3,1072100,1227300,1272800,1237e3
118208,South Los Angeles,California,5,,,,,,284e3,268600,263800,245e3,230600,218800,211900,212300,196e3,184500,176100,181500,185800,183300,179e3,183700,191100,197e3,197700,194e3,192400,199200,209900,205e3,202500,203400,212200,205800,197600,203500,217e3,220600,207800,2e5,198700,204500,199300,197400,197600,194400,193e3,190600,196200,200900,200600,202100,202400,202800,207800,206200,211100,212400,217300,222500,220300,223600,226600,233500,237300,241200,243100,251700,255900,265700,269700,273500,279300,283200,288500,290800,293300,289700,288700,291e3,295e3,297800,297300,301e3,300500,303400,313300,316900,315600,311e3,310500,315600,322e3,327600,331600,332700,342e3,344500,346500,345e3,356e3,364300,373400,368100,370500,366600,372300,374600,379400,385100,386900,391100,409e3,417e3,429700,419800,425800,423700,439600,453600,462500,466100,460200,471500,479500,478200,481600,469100,478800
192820,Sunrise Manor,Nevada,6,,,,,,,,,,,,,,,,,,,72400,75800,77300,85800,88700,89200,82700,82400,82300,83100,81e3,80700,78600,76100,75600,73200,74600,72600,73800,72100,71200,70900,67300,66300,65300,67900,70200,68e3,67700,65700,67500,67200,70100,74e3,77400,77300,79900,82e3,88300,89300,93100,94800,97600,96800,95200,98500,102700,107700,109500,109200,113900,113400,116400,113100,116700,116200,116900,111800,112900,114800,119800,124800,132300,135300,133700,128700,128600,132300,133800,134400,138600,138700,14e4,136500,138500,139800,167200,166800,166500,150600,154100,155100,145500,145900,148800,150200,151200,150200,153100,157100,162500,165100,165300,166600,169100,170400,170100,171300,176700,182600,186800,188800,192200,192800,197600,208600,212600,210800,206200,
192796,Spring Valley,Nevada,7,234100,228400,224900,223700,217100,215100,197700,193800,184800,184100,177900,171800,165300,150900,138300,131100,129600,126700,121100,123200,125900,127600,127700,127900,132500,133200,132500,135300,129100,126800,117300,119e3,118800,119e3,117100,117800,116600,113300,114100,117500,117800,111800,106100,107700,109500,110100,109700,109800,117900,117500,121600,122900,129600,131700,127600,130100,133900,139200,143e3,144400,152900,153900,155600,153800,157100,160300,162700,164700,167400,166200,166700,169500,171200,174200,175700,176200,173600,172100,170100,180300,181100,189200,183200,186600,187800,19e4,189600,189100,189500,190100,189400,186800,187400,189800,193800,204300,225700,225500,217100,197600,204400,204400,206100,204e3,224600,226500,227e3,210200,212500,214700,219200,223500,225900,233500,235800,240700,239400,243900,251500,255e3,266800,269400,272800,266200,263100,261700,257300,
268496,Southeast Los Angeles,California,8,,,,,,238700,219300,208600,199900,196100,193200,168900,151200,139400,143100,139500,132700,128600,128900,133e3,140600,145900,154200,148600,147400,140100,141600,148600,148300,154300,159900,171400,174e3,165900,157500,152100,157900,166700,171100,171200,173300,172700,166700,164800,162800,162500,154400,149500,150600,159300,166100,174700,170200,182800,174800,185e3,184700,191500,187600,173500,179900,184600,196200,197700,197700,212900,223300,226800,217700,215800,223e3,226e3,221500,22e4,222300,231800,237400,242500,241600,241700,254400,251500,253700,240200,249800,255100,265500,274800,275400,271900,272100,276e3,291400,290900,290900,284700,288400,290500,291100,294100,300900,304600,308800,310900,316500,316300,319400,324e3,328400,322400,324300,321600,329700,332100,337e3,341700,347300,349100,349e3,337600,346500,351e3,357900,360400,362200,381300,379700,398300
112547,Paradise Valley,Arizona,9,276700,265900,269400,270100,262700,249400,243e3,235700,252700,246400,239200,208200,186e3,172400,166800,172100,173500,173800,169600,165500,169e3,172300,179200,166400,160600,154700,162e3,168400,169e3,160500,148100,145100,144600,148800,150900,152700,143700,140600,133100,140200,138600,142600,140600,138800,145e3,147900,159400,164700,173200,177600,183400,193700,202700,207900,208500,206500,207300,211600,215200,222100,214300,214700,221800,244500,259200,254600,245200,239900,243200,246500,265800,258200,252500,232600,232900,241200,242200,247100,242300,239300,243e3,243700,262300,266600,271100,257e3,255600,255600,248800,251800,253300,261200,277800,275800,286300,268500,289700,280600,287e3,269500,272200,273800,280300,282900,282e3,284200,285200,290100,291600,296700,291500,288e3,287700,292e3,293900,292200,292100,294200,298400,294400,293e3,298500,308200,315200,312e3,309300,300700,300100
111818,Deer Valley,Arizona,10,212100,208500,204100,200400,196200,186700,181600,179400,176900,168100,159300,152900,148500,137500,132e3,128e3,128500,127400,131400,130600,129800,126700,127700,127200,127200,125e3,126800,123100,121100,116e3,118300,119900,116500,108e3,100300,101e3,100800,100400,100400,101200,102300,101800,104300,106600,107900,109300,109700,112500,115400,122800,128800,133200,134700,137700,138900,145800,148400,150900,149800,151800,156e3,159500,163100,165100,168200,169e3,170500,169700,172200,174400,176700,177200,178100,177300,175500,175700,186e3,190500,187500,179500,175900,178800,182e3,186900,188e3,188700,189700,193e3,192800,190500,192400,195800,202200,205400,203700,201900,200700,211800,217e3,219200,213e3,212200,214800,217200,218700,216700,219300,221900,225600,224800,223e3,221500,222300,225700,228900,232300,233700,234200,237200,236200,238400,242300,244e3,248200,241700,242800,240800,243800
