RegionID,RegionName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10
9,California,1,387600,371200,348800,332700,317600,305300,291300,279400,265100,255400,242600,236e3,227e3,220900,217100,221300,230900,238800,245e3,249500,255500,260800,263e3,263500,262100,261e3,265e3,265e3,267600,263500,266100,263700,262100,259e3,255600,254800,251400,250700,246900,245200,244e3,244500,245700,244800,245100,244e3,246200,247600,250300,256100,261200,266500,271900,278200,288e3,293800,301200,307900,309800,311e3,314e3,324600,336500,345800,353400,357400,358600,360900,363900,368300,369300,371500,372900,375700,378900,378200,380900,382400,386500,386900,386500,386400,387900,392300,395700,399900,400200,402400,402500,405300,406500,407400,409800,413600,418300,417600,417e3,417400,420600,422700,422800,423700,425800,429900,432700,434300,436900,440300,444700,445700,448400,452200,455700,457500,461e3,464600,470900,471100,475900,481500,488700,492200,490400,489900,489400,491700,491900,486300
54,Texas,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184400,186400,186800,186800,184600,184700,185500,186800,188100,188700,189800,190900,192700,194400,195400,196200,197e3,198700,200200,200900,200900,202100,202900,203800,203500,203900,204500,205800,207600,209e3,209600,209300,209700,211700,213200,214200,215500,217800,220200,22e4,217800,
43,New York,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239500,247500,254300,263600,264300,260500,255500,254500,247200,238700,218700,205500,195700,196400,195100,196400,195100,199e3,207900,210900,212100,213300,214900,217200,218100,220800,217200,213400,208700,216800,221500,231500,233800,237700,235900,234800,233200,235200,235e3,232800,228800,234400,234600,235900,228800,226500,226100,227300,228800,229400,229200,229800,230600,232100,232300,229700,231600,235700,238600,243e3,242400,242300,238200,242900,246500,247300,249500,252100,254500,252100,246900,250200,253800,258900,264900,268300,276200,278400,280800,281e3,275600,277300,276300,285800,291100,300500,302600,302400,305e3,305100,304800,303e3,296900,,
14,Florida,4,206400,197200,190900,186500,183900,179800,174800,169200,163600,156600,150600,144800,139200,133100,127700,125e3,126e3,126800,128700,128500,130400,130800,130400,128800,127500,126200,124800,123300,120400,117200,114700,114900,116200,116800,115200,111300,109e3,109600,112700,114100,115700,115800,116400,115900,116300,118e3,120500,122300,122600,123300,124300,126e3,125700,126200,127100,129200,131100,133700,136200,137800,138300,14e4,142100,144100,145200,146900,148500,149400,150800,151200,151700,150400,150500,150600,151200,152e3,154100,155100,156400,157300,159700,160800,161700,163e3,165200,166900,169200,170200,171100,170800,172100,173500,174700,176300,179900,182900,184100,183e3,183e3,184400,185800,188100,189e3,190400,190900,192300,195200,198800,200800,201400,200500,201400,201900,203200,203800,205600,209100,213100,22e4,225e3,228300,225e3,221e3,218100,216800,216800,217300,
21,Illinois,5,212100,207e3,193100,183400,179500,180300,181600,181400,179200,176e3,170800,168500,164900,160400,154700,149400,150700,154900,159100,161400,163200,166500,169600,170600,166800,161600,156400,156300,156300,155300,151e3,15e4,151800,153400,154200,151300,148500,142e3,137600,136800,139300,141700,142200,140500,138400,138100,136700,134600,133800,134400,136100,137400,138100,140400,139200,138500,139800,139900,141400,139100,139200,138600,141500,145800,152800,156900,160200,162500,164300,166100,165800,166800,166e3,164300,163100,164e3,164600,166400,170800,173500,174400,171600,171700,173600,174700,176300,176e3,176100,177600,177300,178900,177500,177e3,174800,173800,175e3,177300,180900,181700,181700,181e3,182100,181e3,180100,181e3,183300,186500,188400,192700,193900,194200,190800,188800,187300,185700,185300,186700,189300,191700,194600,200100,203e3,201400,199900,197200,192800,188e3,185200
47,Pennsylvania,6,147700,146200,144400,141200,140800,141300,142300,140700,139500,137200,136700,136100,138500,138500,137600,135900,136e3,137900,140400,140900,142600,143400,143600,143600,144e3,145e3,143800,14e4,137800,135e3,134600,134400,136700,138500,141e3,141500,14e4,136100,132900,132400,132700,133100,131300,130700,131300,134600,137700,14e4,139800,139900,139600,140300,140500,139500,138200,137500,139900,142400,143900,143600,143300,143500,143600,143900,145e3,145300,145e3,144200,143600,143700,143300,144400,144300,143e3,141500,140700,141400,143100,144500,144800,144300,144600,145600,146e3,146600,146e3,145500,145200,146700,147500,148700,148100,147900,146500,148e3,149500,149100,149200,149400,151500,150900,151e3,150700,152e3,153300,154300,154500,154100,155100,156300,157900,159e3,159200,158600,157500,157800,159e3,161400,163300,164200,167100,166100,165800,162900,163300,162600,162900,
44,Ohio,7,109900,106300,106e3,105600,106100,105400,103600,100700,93900,89e3,86e3,84900,84300,84700,88700,93500,97700,100300,102900,105200,106600,105900,103600,102300,101200,100300,102100,103500,100700,96100,91300,91200,91400,95400,96400,92700,85800,82700,85500,89700,93400,94300,92900,91300,90400,92300,92600,90600,88900,89900,95700,98900,102700,102800,102700,101800,101200,102700,104400,102900,101e3,98100,102e3,105400,109800,110800,110200,108e3,108600,108600,111e3,109600,110700,110700,112700,114800,116400,117500,118e3,118100,117400,118600,117800,119e3,118400,117800,118300,118100,119700,119600,12e4,120100,116500,116200,118200,123700,124700,124300,123900,124700,124300,124400,124400,126700,127400,129100,132600,133300,133e3,129700,129400,129e3,128100,128300,129100,131400,132400,134700,138800,141600,141e3,136900,135500,135e3,135800,136500,137900,
30,Michigan,8,,,,,,,,,,,,,,,,,,,,,,,,70600,67100,66500,67900,68600,68100,64200,62100,58800,67200,69e3,72100,64e3,61900,58900,57600,57900,60500,63e3,64500,63300,62500,63800,65400,65700,63200,62500,64200,66e3,68400,70200,72800,71200,64800,65300,69100,78600,81500,83600,84700,86e3,90700,95200,98100,96800,91900,90800,91800,95700,95400,95400,97500,102e3,106500,109700,111300,110500,108100,104700,107e3,109800,114900,116100,118500,120100,121e3,120200,120100,116100,121100,121600,126800,125700,127900,128400,127400,126800,127500,128200,128200,129500,155900,159e3,16e4,136500,135100,136200,135100,135600,134100,134800,135600,136900,164e3,167400,169900,146400,146800,145800,144900,141400,141500,140900,141500,
16,Georgia,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108900,107800,104500,99500,94400,94600,95500,97300,96400,97e3,97500,97700,98300,99500,102e3,103300,104300,105800,109700,113e3,115600,116700,118700,120100,122400,124500,128600,129500,129800,128600,128700,128900,129500,129600,129200,129900,132200,135300,137900,138300,139100,139400,141700,143300,145100,146300,151100,152700,153700,150800,151300,153100,154400,154900,155600,157400,159300,16e4,159700,159900,159800,160500,16e4,159300,159800,162e3,163600,165300,166100,17e4,170400,171100,169300,170100,170500,171800,173900,175800,178200,180200,184200,186400,187700,186200,185600,184400,183400,183700,
36,North Carolina,10,155700,154200,149100,148e3,148400,149200,148400,149500,147200,146800,146e3,152400,154600,152900,147700,146200,147900,149400,150100,150900,151e3,150900,152800,155300,155500,151900,147800,147200,148400,149900,150500,150900,151400,153400,153600,154e3,151e3,149300,147e3,148400,148400,151200,149200,149200,147e3,148800,149600,151800,152300,153e3,150900,151e3,150900,152100,151e3,150400,151400,155200,156400,157300,154600,155400,154300,155400,156100,156700,157e3,157200,157100,158400,158200,158600,157200,156200,156900,156600,157900,157600,158200,158e3,159e3,160100,162300,165500,166800,166600,165500,166e3,166700,166700,166300,166e3,166e3,166400,167900,167900,168100,168500,168700,170300,170300,172600,173600,175800,176300,177e3,176600,177500,179100,180400,178700,179e3,179600,181400,181800,182900,185600,187300,188800,192200,195700,197800,196200,194400,193100,193100,193600,
