"RegionName","City","State","Metro","CountyName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10"
"Northeast Dallas","Dallas","TX","Dallas-Fort Worth-Arlington","Dallas County",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1350,1300,1345,1300,1300,1200,1295,1362.5,1397.5,1400,1400,1400,1325,1395,1350,1395,1350,1350,1395,1400,1595,1495,1450,1495,1395,1437.5,1449.5,1485,1400,1467,1497.5,1497.5,1500,1550,1600,1650,1650,1700,1650,1650,1595,1595,1600,1650,1600,1600,1650,1750,1650,1650,1650,1600,1600
"Maryvale","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",2,,,,890,875,885,912.5,895,875,850,875,850,850,825,850,850,850,850,850,845,825,815,800,815,800,825,850,850,850,850,850,875,875,850,850,850,850,850,850,850,850,850,845,850,850,850,850,850,850,850,850,875,875,875,895,875,875,882.5,895,895,895,899,895,895,900,925,915,900,900,905,925,915,950,950,950,950,973.5,975,902.5,950,950,925,899,975,987.5,1000,1000,1050,1050,1065,1075,1050,1025,1000,1025,1050,1089.5,1095,1113.5,1112.5,1145,1150,1117.5,1149.5,1150
"Paradise","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",3,,,,,,,,,,,,,1100,1100,1100,1150,1175,1150,1150,1100,1100,1095,1100,1100,1100,1095,1050,1050,1095,1050,1050,1050,1000,1025,1000,1000,1000,1025,1050,1050,1095,1095,1100,1100,1145,1150,1125.5,1150,1150,1150,1150,1125,1100,1150,1150,1175,1195,1195,1195,1200,1150,1200,1250,1250,1250,1250,1275,1250,1245,1245,1250,1262.5,1295,1300,1300,1250,1300,1195,1250,1245,1200,1300,1200,1250,1295,1300,1350,1300,1350,1350,1350,1350,1350,1350,1317.5,1315,1300,1350,1395,1375,1375,1425,1400,1475,1450
"Upper West Side","New York","NY","New York-Newark-Jersey City","New York County",4,2950,2900,3000,3000,3125,3400,3500,3600,3775,3750,3575,3500,3400,3290,3212.5,3200,3100,3227.5,3400,3500,3600,3550,3460,3275,3399,3200,3200,3340,3400,3366.5,3400,3400,3450,3400,3317,3300,3300,3300,3295,3299,3250,3200,3250,3495,3495.5,3500,3500,3500,3500,3510,3595,3550,3695,3600,3600,3605,3700,3670,3600,3695,3597,3595,3600,3600,3700,3696,3677.5,3700,3677.5,3665,3680,3695,3698.5,3700,3649.5,3600,3582.5,3500,3500,3500,3500,3599.5,3500,3500,3500,3500,3595,3600,3625,3600,3600,3550,3500,3550,3567,3575,3500,3500,3500,3500,3500,3540,3500,3530,3600
"South Los Angeles","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1795,2100,2300,2377.5,2200,2280.5,2297.5,2300,2197.5,2195,2300,2300,2200,2300,2200,2297.5,2232.5,2372.5,2475,2495,2447.5,2300,2299.5
"Upper East Side","New York","NY","New York-Newark-Jersey City","New York County",6,,,,3200,3350,3700,3600,3800,3450,3292.5,3337.5,3000,2595,2550,2597.5,2597.5,2625,2700,2825,2895,2950,2925,2900,2775,2800,2700,2700,2750,2700,2700,2750,2795,2800,2800,2800,2800,2800,2750,2795,2700,2600,2500,2606.5,2800,2995,3150,3100,3099,3095,3100,3195,3100,3176,3100,3200,3200,3195,3152.5,3180,3195,3182.5,3197.5,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3195,3100,3100,3007.5,3000,3100,3100,2995,3140,3200,3200,3250,3295,3295,3250,3195,3192.5,3175,3165,3100,3100,3090,3025,3100,3132.5,3197.5,3195,3150,3100,3100
"Sunrise Manor","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",7,,,,,,,,,,,,900,900,912.5,900,912.5,950,900,900,900,895,895,895,890,875,850,895,895,895,875,875,875,875,875,875,875,850,850,875,850,870,850,850,865,850,875,869,899,900,900,900,925,900,900,900,900,900,900,900,925,950,960,932,950,900,950,995,950,950,950,950,950,990,990,995,950,960,995,950,950,975,975,995,995,995,1025,997.5,995,1050,1050,1025,1050,1025,1000,1050,1045,1000,1050,1050,1100,1100,1100,1100,1100,1100
"Spring Valley","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",8,,,,,,1150,1250,1250,1212.5,1237.5,1150,1195,1197.5,1100,1100,1230,1195,1175,1100,1100,1100,1100,1100,1095,1100,1100,1100,1100,1099,1100,1100,1100,1100,1150,1100,1150,1100,1150,1150,1100,1095,1075,1075,1050,1050,1095,1095,1125,1132.5,1150,1150,1100,1100,1125,1150,1150,1150,1195,1195,1199,1200,1199.5,1197.5,1195,1200,1200,1195,1161.5,1195,1200,1200,1200,1150,1100,1100,1200,1235,1150,1100,1150,1200,1200,1195,1245,1250,1275,1250,1212.5,1247.5,1250,1295,1295,1282.5,1295,1295,1295,1299,1300,1350,1340.5,1325,1350,1350,1350,1450
"Southeast Los Angeles","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,2250,2300,2450,2400,2486,2375,2250,2240,2200,2295,2275,2200,2425,2500,2500,2600,2750,2750,2500,2399
"Paradise Valley","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",10,1475,1500,1500,1485,1500,1625,1550,1395,1275,1250,1250,1212.5,1200,1200,1200,1200,1295,1250,1200,1200,1200,1250,1250,1250,1200,1250,1200,1200,1250,1225,1200,1200,1195,1200,1200,1200,1197,1195,1195,1195,1195,1195,1190,1195,1250,1250,1262.5,1275,1295,1300,1300,1350,1350,1319,1350,1300,1325,1350,1375,1450,1500,1500,1500,1495,1467.5,1462.5,1450,1450,1475,1485,1595,1550,1550,1500,1500,1450,1450,1475,1485,1437.5,1400,1440,1350,1495,1450,1500,1500,1500,1500,1545,1500,1500,1500,1500,1549,1575,1525,1550,1550,1550,1595,1600,1600,1550,1525
