"RegionName","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10"
"New York","NY","New York-Newark-Jersey City","Queens County",1,,,,,2250,2400,2400,2400,2585,2800,2665,2900,2600,2350,2595,2695,2700,2700,2800,2895,2850,2800,2650,2595,2450,2600,2550,2595,2630,2600,2650,2695,2700,2750,2750,2800,2800,2800,2800,2800,2900,2800,2700,2800,2850,2895,2900,2906,2950,2950,2900,2850,2950,2995,2900,2900,2900,2950,2900,2850,2950,2950,2950,2990,2900,3000,3000,3000,3000,2995,2995,3000,2999,2975,2995,2995,2995,2942,2950,2990,2950,2982,2944,2895,2924,3000,3000,3000,3000,3000,3000,3000,3000,2992.5,2950,2950,2900,2900,2850,2895,2900,2950,2950,2900,2900,2900
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2600,2338,2695,2600,2575,2595,2595,2795,2800,2850,2900,2950,2900,2950,2950,2995,2995,3000,3195,3200,3250,3225,3300,3300,3250,3200,3200,3300,3400,3400,3400,3250,3300,3280,3150,3495,3195,3500,3200,3295,3385,3495,3500,3500,3500,3500,3500,3500,3500,3495,3499.5,3450,3400,3400,3500,3500,3500,3500,3550,3562.5,3595
"Chicago","IL","Chicago-Naperville-Elgin","Cook County",3,,1575,1500,1500,1500,1550,1500,1500,1600,1650,1700,1800,1600,1600,1600,1600,1625,1624,1650,1650,1650,1650,1600,1600,1612.5,1625,1650,1600,1600,1650,1650,1650,1599,1600,1570,1600,1597,1594,1590,1575,1600,1600,1637,1633,1663,1700,1695,1700,1698.5,1685,1695,1700,1765.5,1766,1785,1800,1800,1800,1799,1793,1750,1750,1782,1750,1780,1780,1795,1800,1750,1723,1730.5,1700,1742,1750,1761,1775,1750,1750,1750,1750,1700,1719,1700,1698,1700,1700,1745,1750,1795,1800,1850,1800,1799,1750,1750,1714,1714,1734,1750,1764,1800,1850,1840,1850,1800,1795
"Houston","TX","Houston-The Woodlands-Sugar Land","Harris County",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1250,1235,1250,1250,1300,1350,1397,1400,1400,1416,1411,1410.5,1400,1425,1445,1450,1487,1500,1500,1550,1525,1500,1500,1500,1500,1525,1537,1550,1550,1540,1495,1489,1450,1477.5,1450,1400,1447,1400,1475,1495,1495,1500,1500,1500,1500,1500,1500,1495,1495,1495,1491,1476,1500,1500,1550,1568.5,1575,1550,1550,1500
"San Antonio","TX","San Antonio-New Braunfels","Bexar County",5,,,,,,,,1160,1160,1162.5,1100,1197.5,1095,1100,1125,1150,1150,1195,1200,1195,1150,1100,1100,1100,1125,1150,1150,1050,1050,1100,1100,1100,1095,1075,1095,1039.5,885,900,889.5,915,909,995,938.5,950,1000,1095,1066.5,1075,1066.5,1075,1100,1100,1100,1125,1150,1150,1125,1102,1100,1099,1100,1100,1122,1100,1125,1150,1135,1125,1100,1100,1105.5,1107.5,1135,1140,1100,1083.5,1075,1075,1085,1095,1064,1055,1095,1029,1150,1187,1195,1200,1225,1288,1275,1250,1250,1250,1237,1225,1245,1250,1250,1250,1288,1295,1300,1295,1275,1275
"Philadelphia","PA","Philadelphia-Camden-Wilmington","Philadelphia County",6,,1350,1290,1250,1300,1400,1499.5,1500,1450,1495,1450,1500,1400,1385,1450,1500,1495,1450,1450,1495,1400,1325,1327.5,1330,1250,1350,1400,1425,1400,1400,1350,1280,1200,1200,1225,1150,1150,1200,1295,1350,1399,1350,1300,1295,1300,1275,1250,1250,1250,1200,1250,1300,1500,1500,1500,1470,1400,1395,1350,1300,1395,1400,1500,1550,1595,1550,1500,1500,1475,1425,1425,1400,1400,1425,1500,1575,1550,1500,1447.5,1400,1395,1300,1395,1300,1350,1395,1500,1550,1550,1550,1500,1495,1440,1450,1450,1400,1400,1400,1495,1500,1550,1500,1500,1477.5,1425,1400
"Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",7,,1300,1200,1200,1200,1100,1150,1195,1100,1100,1099,1099,1025,1025,1050,1050,1050,1050,1050,1050,1025,1000,995,995,995,995,1000,1000,1000,1050,1050,1000,1000,1000,1000,1000,999,1000,1000,1000,1000,1000,1000,995,1050,1050,1050,1050,1050,1050,1050,1095,1100,1100,1125,1150,1129,1127,1125,1150,1150,1190,1195,1200,1200,1200,1200,1200,1195,1199.5,1195,1200,1215,1225,1250,1250,1200,1215,1200,1200,1200,1200,1200,1195,1225,1250,1295,1300,1325,1325,1325,1300,1300,1299,1295,1300,1300,1300,1350,1350,1395,1395,1400,1400,1395,1395
"Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",8,,1295,1250,1250,1250,1200,1200,1200,1250,1225,1200,1175,1195,1150,1122.5,1150,1195,1175,1150,1150,1150,1145,1100,1100,1100,1100,1100,1095,1100,1100,1100,1100,1100,1095,1095,1095,1095,1095,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1150,1150,1150,1150,1175,1175,1195,1195,1195,1195,1195,1198,1200,1200,1200,1225,1200,1200,1245,1249,1225,1225,1245,1227,1250,1250,1250,1250,1250,1275,1200,1200,1200,1250,1275,1200,1250,1295,1300,1334,1325,1350,1350,1350,1350,1325,1345,1350,1350,1350,1380,1400,1400,1400,1425,1425,1450,1465
"San Diego","CA","San Diego-Carlsbad","San Diego County",9,,,,,,,,3500,3000,2797.5,2500,2550,2100,2200,2200,2295,2299.5,2295,2250,2250,2200,2150,2099.5,2095,2000,2095,2000,1900,1895,2000,1995,2000,2000,1995,1995,1995,1975,1900,1900,1950,1995,2000,2000,1900,2200,2250,2195,2200,2200,2200,2195,2150,2250,2295,2295,2300,2350,2395,2350,2300,2350,2395,2300,2300,2250,2300,2332.5,2365,2350,2350,2395,2400,2400,2400,2400,2400,2347.5,2395,2386.5,2350,2395,2350,2300,2350,2400,2495,2500,2500,2595,2600,2600,2595,2550,2500,2500,2500,2500,2600,2595,2695,2695,2700,2750,2750,2700,2695
"Dallas","TX","Dallas-Fort Worth-Arlington","Dallas County",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1095,1150,1075,1000,1115,1115,1200,1195,1100,1124,1200,1195,1198.5,1250,1295,1238,1250,1250,1250,1300,1250,1233,1225,1250,1300,1300,1350,1325,1300,1300,1300,1300,1300,1325,1375,1397,1400,1400,1471,1469,1400,1400,1400,1400,1425,1471,1495,1495,1495,1450,1450,1450,1400,1450,1495,1450,1500,1550,1600,1600,1650,1695,1650,1650,1650,1599.5,1600,1600,1600,1600,1600,1650,1650,1650,1675,1640,1600,1600
"San Jose","CA","San Jose-Sunnyvale-Santa Clara","Santa Clara County",11,,,,,,,,,,,2200,2400,1995,2000,2150,2270,2200,2300,2350,2300,2300,2300,2250,2200,2100,2197.5,2200,2200,2200,2295,2300,2222.5,2250,2300,2250,2300,2300,2250,2290,2250,2300,2300,2375,2345,2500,2595,2550,2600,2495,2495,2499.5,2500,2600,2700,2700,2800,2800,2795,2800,2800,2800,2850,2850,2950,2995,3150,3100,3100,3195,3190,3100,3100,3095,3195,3100,3145,3150,3200,3200,3095,3000,2995,2995,2997.5,3099.5,3183,3200,3200,3300,3350,3395,3300,3250,3300,3299,3295,3300,3300,3300,3395,3400,3450,3500,3475,3400,3400
"Austin","TX","Austin-Round Rock","Travis County",12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1075,990,1045,1090,1250,1125,1190,1250,1347.5,1350,1300,1300,1308.5,1395,1425,1395,1395,1436.5,1425,1400,1395,1350,1345,1350,1350,1350,1400,1450,1500,1525,1510,1520,1535,1549,1500,1500,1525,1495,1400,1350,1450,1450,1425,1375,1330,1350,1350,1500,1550,1600,1650,1650,1695,1695,1650,1649,1625,1600,1595,1600,1640,1650,1659,1695,1700,1700,1700,1695,1695
"Jacksonville","FL","Jacksonville","Duval County",13,,950,950,950,995,995,1000,1012.5,1000,1000,995,995,995,995,1000,1000,1000,1025,1000,1000,998,985,950,975,975,975,995,995,1000,1000,1000,1050,1000,999,999,995,1000,1000,1000,1025,1050,1050,1050,1075,1050,1050,1050,1050,1050,1050,1050,1075,1095,1095,1095,1050,1050,1050,1050,1050,1050,1050,1075,1075,1095,1095,1095,1095,1095,1095,1095,1095,1095,1095,1100,1100,1107.5,1100,1150,1150,1125,1100,1100,1100,1100,1100,1120,1150,1150,1195,1200,1200,1195,1195,1195,1175,1175,1175,1200,1199,1207,1250,1250,1250,1240,1200
"San Francisco","CA","San Francisco-Oakland-Hayward","San Francisco County",14,,,,3300,3200,3200,3200,3200,3200,3200,3325,3397.5,3175,3000,3000,3012.5,2975,3000,3140,3200,3500,3425,3400,3350,3275,3408.5,3500,3395,3408.5,3600,3600,3350,3500,3300,3250,3442.5,3520,3584,3500,3400,3800,3800,3700,3500,3685,3952.5,3950,4000,3962.5,3800,3800,3850,4000,3950,4000,4100,4050,4300,4200,4500,4495,4500,4500,4495,4500,4600,4625,4825,4650,4600,4500,4450,4500,4550,4500,4500,4500,4500,4450,4300,4200,4200,4100,4095,4200,4450,4400,4350,4450,4395,4487,4495,4450,4495,4400,4400,4490,4459,4480,4500,4500,4500,4500,4500,4550,4500
"Indianapolis","IN","Indianapolis-Carmel-Anderson","Marion County",15,,,,,,,,,,,,,,800,799,825,800,750,750,775,750,750,775,795,795,800,775,775,765,775,775,775,785,775,775,750,750,775,795,800,800,800,850,850,804,795,800,825,850,850,850,850,875,850,895,900,885,900,850,850,850,900,900,935,950,925,900,900,895,850,850,850,850,850,900,950,965,950,1000,950,950,920,935,950,950,999,1000,1000,1050,1025,1025,1000,1042.5,1000,995,995,994,1000,1030,1050,1070,1000,1050,1050,1050,1025
"Charlotte","NC","Charlotte-Concord-Gastonia","Mecklenburg County",16,,995,995,995,995,1000,1000,995,995,995,995,985,950,950,950,995,1000,1000,1050,1000,1035,1000,995,995,1000,995,1000,1025,1050,1095,1100,1095,1075,1050,1050,1050,1050,1000,1025,1100,1145,1150,1107.5,1150,1125,1125,1100,1100,1080,1075,1085,1095,1122.5,1149.5,1150,1150,1150,1195,1194,1190,1195,1195,1200,1225,1250,1250,1250,1250,1250,1245,1225,1225,1250,1250,1250,1275,1275,1290,1295,1275,1295,1275,1295,1250,1300,1350,1395,1400,1400,1400,1421,1400,1400,1400,1400,1400,1400,1400,1405,1455,1450,1450,1450,1445,1445,1425
