"","name","Yr","AvgSlPr"
"1","ALASKA JUNCTION",1982,80284.2083333333
"2","ALASKA JUNCTION",1983,61973.9130434783
"3","ALASKA JUNCTION",1984,68651.5151515152
"4","ALASKA JUNCTION",1985,73544.4864864865
"5","ALASKA JUNCTION",1986,78851.2295081967
"6","ALASKA JUNCTION",1987,80011.8947368421
"7","ALASKA JUNCTION",1988,83376.875
"8","ALASKA JUNCTION",1989,111199.038461538
"9","ALASKA JUNCTION",1990,143282.096774194
"10","ALASKA JUNCTION",1991,156428.272727273
"11","ALASKA JUNCTION",1992,142909.537444934
"12","ALASKA JUNCTION",1993,140212.495098039
"13","ALASKA JUNCTION",1994,145337.713592233
"14","ALASKA JUNCTION",1995,152835.335
"15","ALASKA JUNCTION",1996,165764.028846154
"16","ALASKA JUNCTION",1997,179794.026431718
"17","ALASKA JUNCTION",1998,197628.996078431
"18","ALASKA JUNCTION",1999,227273.033088235
"19","ALASKA JUNCTION",2000,251875.535087719
"20","ALASKA JUNCTION",2001,272292.089494163
"21","ALASKA JUNCTION",2002,283547.929166667
"22","ALASKA JUNCTION",2003,309785.808163265
"23","ALASKA JUNCTION",2004,352259.04
"24","ALASKA JUNCTION",2005,408509.93877551
"25","ALASKA JUNCTION",2006,431943.119617225
"26","ALASKA JUNCTION",2007,497641.834080717
"27","ALASKA JUNCTION",2008,462452.723076923
"28","ALASKA JUNCTION",2009,413773.460431655
"29","ALASKA JUNCTION",2010,399252.753246753
"30","ALASKA JUNCTION",2011,388243.75
"31","ALASKA JUNCTION",2012,415923.653631285
"32","ALASKA JUNCTION",2013,450572.131067961
"33","ALASKA JUNCTION",2014,490513.86631016
"34","ALASKA JUNCTION",2015,586326.820276498
"35","ALASKA JUNCTION",2016,617429.307291667
"36","ALASKA JUNCTION",2017,700298.846153846
"37","ALASKA JUNCTION",2018,748825.242236025
"38","ALKI",1982,68333.3333333333
"39","ALKI",1983,101828.571428571
"40","ALKI",1984,112407.095238095
"41","ALKI",1985,123309.259259259
"42","ALKI",1986,118950
"43","ALKI",1987,110162.870967742
"44","ALKI",1988,155098.837837838
"45","ALKI",1989,188829.166666667
"46","ALKI",1990,196397.5
"47","ALKI",1991,297906.060606061
"48","ALKI",1992,217146.585365854
